Time(s),Vehicle Name,Road Name,Travelled Distance (m),Speed(km/h),Steering Wheel Angle(-1..1),Acceleration(m/s^2),Accelerate (0..1),Brake (0..1),X Pos(m),Y Pos(m),Z Pos(m),Distance to the left border(m),Distance to the right border(m)
1.24981781914003,[user's car],,15.7611415371072,45.0351184844971,0,-0.0544177927076817,0,0,4037.4348, 5542.2499, 3.0000,0.0000, 0.0000
1.27009355595172,[user's car],,16.0147199091376,45.0233768463135,0,-0.0544983670115471,0,0,4037.2222, 5542.1183, 3.0000,0.0000, 0.0000
1.2923542051091,[user's car],,16.2930498851554,45.0116214752197,0,-0.0540129095315933,0,0,4037.0093, 5541.9870, 3.0000,0.0000, 0.0000
1.30176736630959,[user's car],,16.4107279106822,45.0051670074463,0,-0.0543817579746246,0,0,4036.8923, 5541.9147, 3.0000,0.0000, 0.0000
1.32380176758943,[user's car],,16.6861141342491,44.9928451538086,0,-0.0539821349084377,0,0,4036.6689, 5541.7767, 3.0000,0.0000, 0.0000
1.33307480683028,[user's car],,16.8019920604432,44.9863872528076,0,-0.0539768785238266,0,0,4036.5520, 5541.7045, 3.0000,0.0000, 0.0000
1.35299399126692,[user's car],,17.0508415773795,44.974645614624,0,-0.0539598613977432,0,0,4036.3394, 5541.5731, 3.0000,0.0000, 0.0000
1.37514084711311,[user's car],,17.327449106508,44.9629108428955,0,-0.0539461001753807,0,0,4036.1270, 5541.4418, 3.0000,0.0000, 0.0000
1.38442058007814,[user's car],,17.4433335171623,44.9564529418945,0,-0.0543096885085106,0,0,4036.0100, 5541.3695, 3.0000,0.0000, 0.0000
1.40626755708073,[user's car],,17.7160853502956,44.9447353363037,0,-0.0539185740053654,0,0,4035.7976, 5541.2384, 3.0000,0.0000, 0.0000
1.41536700574098,[user's car],,17.8296724817858,44.9382911682129,0,-0.0547591112554073,0,0,4035.6807, 5541.1661, 3.0000,0.0000, 0.0000
1.43528574392935,[user's car],,18.0782503089512,44.9265495300293,0,-0.0538877956569195,0,0,4035.4685, 5541.0350, 3.0000,0.0000, 0.0000
1.45667933268032,[user's car],,18.3451640023157,44.9148250579834,0,-0.0538740307092667,0,0,4035.2561, 5540.9037, 3.0000,0.0000, 0.0000
1.46589078965864,[user's car],,18.4600727940263,44.9083843231201,0,-0.053865522146225,0,0,4035.1394, 5540.8317, 3.0000,0.0000, 0.0000
1.48549403031365,[user's car],,18.7045505981843,44.8966632843018,0,-0.0538517609238625,0,0,4034.9272, 5540.7006, 3.0000,0.0000, 0.0000
1.50777877687809,[user's car],,18.9823977413837,44.8849491119385,0,-0.0542153529822826,0,0,4034.7151, 5540.5695, 3.0000,0.0000, 0.0000
1.51701031502897,[user's car],,19.0974804165347,44.8785049438477,0,-0.0542959272861481,0,0,4034.5984, 5540.4974, 3.0000,0.0000, 0.0000
1.53894877292879,[user's car],,19.3708993401793,44.8667873382568,0,-0.0538072176277637,0,0,4034.3862, 5540.3663, 3.0000,0.0000, 0.0000
1.5482526033009,[user's car],,19.4868347738402,44.8597560882568,0,-0.0538019649684429,0,0,4034.2590, 5540.2877, 3.0000,0.0000, 0.0000
1.56846452660867,[user's car],,19.7386340121565,44.8486392974853,0,-0.0537796914577484,0,0,4034.0576, 5540.1635, 3.0000,0.0000, 0.0000
1.59021913021748,[user's car],,20.0095775777368,44.8363414764404,0,-0.0537659302353859,0,0,4033.8350, 5540.0258, 3.0000,0.0000, 0.0000
1.59930563767763,[user's car],,20.1227310758608,44.8304912567139,0,-0.0537574216723442,0,0,4033.7290, 5539.9603, 3.0000,0.0000, 0.0000
1.61987857584324,[user's car],,20.3788539693795,44.8182174682617,0,-0.0537436604499817,0,0,4033.5066, 5539.8229, 3.0000,0.0000, 0.0000
1.64184559363293,[user's car],,20.6522610265546,44.8065101623535,0,-0.0537213869392872,0,0,4033.2949, 5539.6923, 3.0000,0.0000, 0.0000
1.65117932263974,[user's car],,20.7684142964468,44.8000762939453,0,-0.0537213869392872,0,0,4033.1785, 5539.6203, 3.0000,0.0000, 0.0000
1.66234043834968,[user's car],,20.9072902798779,44.7942260742187,0,-0.0540849789977074,0,0,4033.0725, 5539.5548, 3.0000,0.0000, 0.0000
1.67370281203353,[user's car],,21.0486520196422,44.7883758544922,0,-0.053699117153883,0,0,4032.9668, 5539.4894, 3.0000,0.0000, 0.0000
1.68274603341061,[user's car],,21.1611430749494,44.7813652038574,0,-0.0532189160585403,0,0,4032.8396, 5539.4110, 3.0000,0.0000, 0.0000
1.702925380594,[user's car],,21.4120938765289,44.7696784973145,0,-0.0536768473684788,0,0,4032.6282, 5539.2802, 3.0000,0.0000, 0.0000
1.72468355418904,[user's car],,21.6826083433201,44.7579883575439,0,-0.053663082420826,0,0,4032.4165, 5539.1495, 3.0000,0.0000, 0.0000
1.73377898661478,[user's car],,21.7956735488209,44.7515544891357,0,-0.0536493211984634,0,0,4032.3000, 5539.0775, 3.0000,0.0000, 0.0000
1.75534750469118,[user's car],,22.0637215474609,44.7398746490478,0,-0.0536270514130592,0,0,4032.0886, 5538.9469, 3.0000,0.0000, 0.0000
1.76430281515727,[user's car],,22.1750013252788,44.7340381622314,0,-0.0536270514130592,0,0,4031.9829, 5538.8817, 3.0000,0.0000, 0.0000
1.78415506235204,[user's car],,22.4216233186759,44.7223514556885,0,-0.0536047779023647,0,0,4031.7715, 5538.7511, 3.0000,0.0000, 0.0000
1.8059234996575,[user's car],,22.6919792567908,44.710668182373,0,-0.0532136633992195,0,0,4031.5603, 5538.6205, 3.0000,0.0000, 0.0000
1.81518315144997,[user's car],,22.8069641930569,44.704248046875,0,-0.0531108155846596,0,0,4031.4441, 5538.5487, 3.0000,0.0000, 0.0000
1.83512732579025,[user's car],,23.0545632613687,44.6925819396973,0,-0.053568746894598,0,0,4031.2327, 5538.4181, 3.0000,0.0000, 0.0000
1.85721661560843,[user's car],,23.3287214058071,44.6808986663818,0,-0.0535464733839035,0,0,4031.0215, 5538.2877, 3.0000,0.0000, 0.0000
1.86616880233656,[user's car],,23.4398142511003,44.6744750976562,0,-0.0535464733839035,0,0,4030.9053, 5538.2160, 3.0000,0.0000, 0.0000
1.88668462072243,[user's car],,23.6943404034023,44.6628124237061,0,-0.0525808185338974,0,0,4030.6943, 5538.0856, 3.0000,0.0000, 0.0000
1.90913090916393,[user's car],,23.9727402391572,44.6505626678467,0,-0.0535104423761368,0,0,4030.4727, 5537.9486, 3.0000,0.0000, 0.0000
1.91805855223671,[user's car],,24.0834533033573,44.6441493988037,0,-0.0531245805323124,0,0,4030.3567, 5537.8768, 3.0000,0.0000, 0.0000
1.93941644112535,[user's car],,24.3482464697426,44.6324729919434,0,-0.0534881688654423,0,0,4030.1455, 5537.7465, 3.0000,0.0000, 0.0000
1.94853686345472,[user's car],,24.4613059117575,44.6266605377197,0,-0.0534744076430798,0,0,4030.0400, 5537.6815, 3.0000,0.0000, 0.0000
1.96876395920398,[user's car],,24.7119780839222,44.6144039154053,0,-0.0534606426954269,0,0,4029.8186, 5537.5446, 3.0000,0.0000, 0.0000
1.99024902885218,[user's car],,24.9781740677572,44.6033248901367,0,-0.0534383729100227,0,0,4029.6184, 5537.4208, 3.0000,0.0000, 0.0000
1.99965460383193,[user's car],,25.0946906491439,44.5969219207764,0,-0.0524864792823792,0,0,4029.5024, 5537.3493, 3.0000,0.0000, 0.0000
5.04609923222984,[user's car],,62.3436686218273,44.0173175811768,0,-0.0513151325285435,0,0,4019.0322, 5530.8807, 3.0000,0.0000, 0.0000
5.06342571416459,[user's car],,62.5553924854071,43.9908061981201,0,-0.0517592988908291,0,0,4018.5537, 5530.5853, 3.0000,0.0000, 0.0000
5.07444938540456,[user's car],,62.6900786538594,43.9844581604004,0,-0.052122887223959,0,0,4018.4395, 5530.5145, 3.0000,0.0000, 0.0000
